1660,1232,721
2186,1924,512
1428,1097,336
417,349,137
193,146,55
587,479,158
353,340,103
1899,1720,489
1038,839,227
582,498,172
1732,1425,472
2652,1900,484
1179,780,290
1267,1080,385
494,313,157
1420,1093,220
4302,992,418
1216,908,423
1130,704,322
3540,2001,1016
713,661,252
7313,4664,1910
619,516,219
12809,10308,3761
708,334,166
1734,1729,951
2135,1700,491
7548,6791,3070
662,513,257
1879,1658,497
761,725,306
948,798,295
627,556,172
602,483,206
1690,1366,662
261,192,111
1910,838,285
2496,1402,531
990,784,279
6075,5349,2367
1163,850,348
807,707,308
632,494,129
1220,974,481
1320,923,284
1208,877,546
632,620,222
519,327,114
3466,2330,640
1858,1221,480
878,816,200
202,184,122
502,384,104
1646,1150,542
805,588,287
500,336,156
6773,3028,1025
377,358,181
692,514,209
20192,13007,3810
3356,1019,418
9251,7333,3076
443,330,151
3767,3414,1061
4186,2743,740
367,274,158
1436,1228,1202
392,351,155
838,673,292
7365,5402,4615
12586,3239,1462
1465,810,313
6548,3813,862
860,688,285
2362,2037,700
599,494,224
1011,604,213
563,247,247
7811,3817,1650
4540,3294,1483
1784,1512,913
2087,1339,657
848,587,298
2853,2193,753
1747,1382,449
100,90,35
2694,1579,489
8728,5201,1191
1160,991,352
1096,951,464
1616,1427,434
3877,3156,713
1257,940,363
1083,880,291
1754,1465,505
3847,3433,527
776,607,198
1307,1090,616
369,312,90
495,434,210
601,396,203
1283,1113,401
4158,2532,902
4681,4101,1436
2785,2011,1007
174,146,88
1013,888,288
959,771,351
212,197,91
342,254,126
81,72,51
880,520,224
883,766,428
1196,697,499
1860,767,227
2887,2059,457
460,340,167
2174,1953,557
8065,5257,2301
689,561,250
1006,742,275
604,452,295
2848,1319,456
4856,2492,727
1432,888,317
4772,3140,1265
798,620,238
946,648,177
344,264,97
457,356,177
938,864,511
511,411,186
444,359,122
983,664,249
546,447,189
141,118,55
672,596,278
2994,1691,659
7117,3106,1217
2100,1883,553
3207,1577,490
9478,6312,2194
314,158,132
737,614,242
6756,1930,871
281,266,139
232,216,106
688,497,144
528,403,186
3035,1546,438
440,407,149
1538,1329,383
2967,2836,876
1576,1110,274
995,789,398
866,619,157
504,482,185
585,508,153
8587,2273,1087
2373,956,452
571,461,174
967,945,459
2762,2279,533
1994,1656,495
3014,2539,487
434,412,319
1998,1376,651
793,709,244
360,329,108
604,562,328
1011,829,410
2799,2573,839
2153,1580,321
700,650,314
13789,3893,1583
1358,1006,274
9274,6362,2435
3330,2730,1303
379,341,265
458,369,165
2172,1493,564
5597,4253,1565
486,440,227
516,409,200
1422,1109,366
2417,1843,426
1457,1045,345
245,208,125
3624,2786,858
3151,2584,958
765,646,226
8506,4168,1236
1256,1256,853
659,557,167
560,454,113
1801,1101,438
4784,3346,781
1455,1064,452
1339,1107,336
1415,714,338
1947,1580,523
3306,2079,1071
1381,1040,374
11651,8683,3023
291,245,126
4200,2874,942
3440,2823,1123
1801,1655,819
553,452,228
804,632,281
5187,4471,446
895,548,314
346,274,146
2161,1951,685
2464,1908,678
1110,930,332
668,534,237
809,726,294
5653,4326,1727
7875,5062,1492
727,693,286
11115,2881,1390
7837,4527,2276
3793,2341,1238
348,281,127
3596,2466,575
633,468,284
1886,1524,526
674,565,282
440,396,221
1151,813,248
548,428,167
555,414,242
5165,3887,1561
780,628,198
608,494,176
510,387,194
2039,1389,432
2491,1110,573
1202,1054,326
1709,1385,634
380,237,104
3140,1783,454
1006,825,328
817,644,307
7178,3755,1433
1006,837,317
467,424,350
1721,1068,806
2083,1725,430
13865,2165,1606
1377,572,178
817,708,262
823,721,274
920,745,347
922,729,244
2688,2081,500
7428,5860,1349
602,498,215
699,565,176
1712,1483,624
949,786,302
608,520,127
450,430,125
600,197,124
723,652,361
607,558,269
894,787,262
1756,1360,478
8681,6695,2408
3050,1342,471
268,253,103
1163,927,386
5659,4761,3147
16587,13243,5873
735,423,366
4892,3530,913
8427,7424,3441
7259,5526,1368
11223,5285,2082
472,410,262
2957,1423,691
605,405,284
2421,2109,820
8474,3446,911
833,669,279
313,228,137
1005,859,298
5880,4075,2833
589,575,148
3121,2446,822
584,497,175
2212,1538,408
461,381,174
1456,1053,381
355,300,142
1040,845,286
361,321,185
2929,1834,622
4010,2402,572
544,399,177
979,638,271
497,452,231
2336,1725,1043
831,538,224
1166,1009,510
1243,947,324
1470,1199,425
1386,1060,320
6397,4304,1092
979,743,259
244,198,82
477,417,204
2774,2092,482
1154,1050,395
787,562,363
1660,1091,326
810,484,356
1561,1188,458
900,473,217
3570,2215,651
2747,1870,724
1641,1283,527
2013,1053,212
5996,4993,3079
2397,2144,1525
4076,3137,738
3768,2662,753
1891,1698,719
3579,2959,868
1549,1392,587
1286,1005,363
1756,1500,366
535,502,223
2939,1496,452
740,558,177
874,758,428
1004,802,239
2432,1730,563
962,750,212
3073,2672,1547
824,670,337
1611,960,342
4731,3171,830
5152,4600,1685
4226,3666,2007
499,441,199
4350,2178,756
478,327,117
695,535,239
941,772,214
1464,888,176
549,397,169
1107,859,323
6411,2140,1078
233,233,153
1002,555,119
578,411,187
420,293,93
2286,1668,564
1557,1074,397
857,772,376
1981,1541,514
1584,1456,891
1742,1382,607
9239,7788,3290
18114,15096,6180
2618,2288,1032
331,331,225
6011,3075,960
610,461,189
1444,1261,456
905,834,319
1217,1088,496
594,385,307
4255,3277,1609
480,405,380
1576,1326,913
1310,983,316
601,503,204
2707,1881,478
572,544,320
